seed,id,id_reviewed,shift_reviewed
17,test-4017-60,1,0
17,test-4017-216,1,0
17,test-4017-337,1,0
17,test-4017-585,1,0
17,test-4017-601,1,0
17,test-4017-1600,1,0
17,test-4017-1657,1,0
17,test-4017-1919,1,0
17,test-4017-2152,1,0
17,test-4017-2196,1,0
17,test-4017-2643,1,0
17,test-4017-2767,1,0
17,test-4017-2808,1,0
17,test-4017-3065,1,0
17,test-4017-3239,1,0
17,test-4017-3660,1,0
17,test-4017-3738,1,0
17,test-4017-3960,1,0
17,test-4017-3996,1,0
17,test-4017-4012,1,0
17,test-4017-4123,1,0
17,test-4017-4177,1,0
17,test-4017-4465,1,0
17,test-4017-4484,1,0
17,test-4017-4767,1,0
17,test-4017-4814,1,0
17,test-4017-4858,1,0
17,test-4017-4871,1,0
17,test-4017-5153,1,0
17,test-4017-5412,1,0
17,test-4017-5462,1,0
17,test-4017-5668,1,0
17,test-4017-5699,1,0
17,test-4017-6065,1,0
17,test-4017-6311,1,0
17,test-4017-6406,1,0
17,test-4017-6510,1,0
17,test-4017-6544,1,0
17,test-4017-6783,1,0
17,test-4017-6857,1,0
17,test-4017-6895,1,0
17,test-4017-6998,1,0
17,test-4017-7189,1,0
17,test-4017-7211,1,0
17,test-4017-7255,1,0
17,test-4017-7658,1,0
17,test-4017-7691,1,0
17,test-4017-7983,1,0
17,test-4017-8337,1,0
17,test-4017-8413,1,0
17,test-4017-8701,1,0
17,test-4017-8860,1,0
17,test-4017-8881,1,0
17,test-4017-9094,1,0
17,test-4017-9188,1,0
17,test-4017-9285,1,0
17,test-4017-9377,1,0
17,test-4017-9393,1,0
17,test-4017-9439,1,0
17,test-4017-9496,1,0
17,test-4017-9867,1,0
17,test-4017-9873,1,0
17,test-4017-10082,1,0
17,test-4017-10146,1,0
17,test-4017-10263,1,0
17,test-4017-10830,1,0
17,test-4017-10942,1,0
17,test-4017-11000,1,0
17,test-4017-11140,1,0
17,test-4017-11150,1,0
17,test-4017-11962,1,0
17,test-4017-12246,1,0
17,test-4017-12359,1,0
17,test-4017-12482,1,0
17,test-4017-13063,1,0
17,test-4017-13086,1,0
17,test-4017-13250,1,0
17,test-4017-13272,1,0
17,test-4017-13862,1,0
17,test-4017-13951,1,0
17,test-4017-13954,1,0
17,test-4017-14064,1,0
17,test-4017-14388,1,0
17,test-4017-14558,1,0
17,test-4017-14612,1,0
17,test-4017-14849,1,0
17,test-4017-14957,1,0
17,test-4017-15160,1,0
17,test-4017-15434,1,0
17,test-4017-15457,1,0
17,test-4017-15527,1,0
17,test-4017-16067,1,0
17,test-4017-16170,1,0
17,test-4017-16366,1,0
17,test-4017-16492,1,0
17,test-4017-17876,1,0
17,test-4017-18873,1,0
17,test-4017-19386,1,0
17,test-4017-19458,1,0
17,test-4017-19820,1,0
17,test-4017-20023,1,0
17,test-4017-20104,1,0
17,test-4017-20511,1,0
17,test-4017-20873,1,0
17,test-4017-21124,1,0
17,test-4017-21197,1,0
17,test-4017-21213,1,0
17,test-4017-21265,1,0
17,test-4017-21358,1,0
17,test-4017-21520,1,0
17,test-4017-21899,1,0
17,test-4017-22143,1,0
17,test-4017-22195,1,0
17,test-4017-22262,1,0
17,test-4017-22380,1,0
17,test-4017-22384,1,0
17,test-4017-22638,1,0
17,test-4017-22674,1,0
17,test-4017-22753,1,0
17,test-4017-22940,1,0
17,test-4017-22979,1,0
17,test-4017-23101,1,0
17,test-4017-23256,1,0
17,test-4017-23531,1,0
17,test-4017-23849,1,0
17,test-4017-23892,1,0
17,test-4017-24057,1,0
17,test-4017-24108,1,0
17,test-4017-24478,1,0
17,test-4017-24503,1,0
17,test-4017-25014,1,0
17,test-4017-25367,1,0
17,test-4017-25373,1,0
17,test-4017-25936,1,0
17,test-4017-26031,1,0
17,test-4017-26681,1,0
17,test-4017-26733,1,0
17,test-4017-26802,1,0
17,test-4017-26886,1,0
17,test-4017-26916,1,0
17,test-4017-27088,1,0
17,test-4017-27241,1,0
17,test-4017-27524,1,0
17,test-4017-27693,1,0
17,test-4017-28060,1,0
17,test-4017-28173,1,0
17,test-4017-28510,1,0
17,test-4017-29001,1,0
17,test-4017-29106,1,0
17,test-4017-29128,1,0
17,test-4017-29201,1,0
