seed,model,variant,condition,n,positives,prevalence,average_precision,roc_auc,brier,positive_brier,negative_brier,log_loss,ece_15,mean_probability,accuracy_at_half,frozen_threshold,frozen_alerts,frozen_alert_rate,frozen_tp,frozen_fp,frozen_precision,frozen_recall
17,word_balanced,raw,id,40000,200,0.005,1.0,1.0,0.00011357406569425957,2.6026487132250354e-05,0.00011401400327497318,0.004747839151251695,0.00468695360851036,0.009637391580184831,1.0,0.08851965682413587,405,0.010125,200,205,0.49382716049382713,1.0
17,word_balanced,calibrated,id,40000,200,0.005,1.0,1.0,1.3771355068310573e-07,1.5055581950302385e-10,1.384048220140787e-07,3.076039697976522e-05,3.0691263647744195e-05,0.005030587439336113,1.0,0.0020324245389853365,405,0.010125,200,205,0.49382716049382713,1.0
17,word_balanced,raw,positive_paraphrase,40000,200,0.005,0.8065797015551858,0.9979198492462311,0.0029815661078756157,0.5736244349234034,0.00011401400327497318,0.012855995186125698,0.005324978807526429,0.005995270860883168,0.995825,0.08851965682413587,375,0.009375,170,205,0.4533333333333333,0.85
17,word_balanced,calibrated,positive_paraphrase,40000,200,0.005,0.8065797015551858,0.9979198492462311,0.003994445218812821,0.7988615012029833,1.384048220140787e-07,0.019589556155935935,0.004333744607175602,0.0006662553928243977,0.9954,0.0020324245389853365,375,0.009375,170,205,0.4533333333333333,0.85
17,word_balanced,raw,benign_context,40000,200,0.005,0.043840664022847954,0.9503718592964824,0.07866538777206845,2.6026487132250354e-05,0.07906056044184198,0.43974341314184856,0.08317814245968416,0.08817814245968417,0.92075,0.08851965682413587,3558,0.08895,200,3358,0.056211354693648116,1.0
17,word_balanced,calibrated,benign_context,40000,200,0.005,0.043840664022847954,0.9503718592964824,0.07924879531637347,1.5055581950302385e-10,0.0796470304679605,0.9512129415558406,0.07927764825225644,0.08427764825225643,0.92075,0.0020324245389853365,3558,0.08895,200,3358,0.056211354693648116,1.0
17,word_balanced,raw,combined,40000,200,0.005,0.029330511923243246,0.9184243718592965,0.08153337981424981,0.5736244349234034,0.07906056044184198,0.4478515691767225,0.08398091394179201,0.08453602174038251,0.916575,0.08851965682413587,3528,0.0882,170,3358,0.0481859410430839,0.85
17,word_balanced,calibrated,combined,40000,200,0.005,0.029330511923243246,0.9184243718592965,0.08324310282163562,0.7988615012029833,0.0796470304679605,0.9707717373147967,0.08358535151573303,0.07991331620574471,0.91615,0.0020324245389853365,3528,0.0882,170,3358,0.0481859410430839,0.85
17,word_balanced,raw,combined_0.25,40000,200,0.005,0.13646517211151626,0.985721608040201,0.019655726759884966,0.1365857441760596,0.019068138732668004,0.11134666317578326,0.023422611620267226,0.027629953305616756,0.979975,0.08851965682413587,1154,0.02885,192,962,0.1663778162911612,0.96
17,word_balanced,calibrated,combined_0.25,40000,200,0.005,0.13646517211151626,0.985721608040201,0.01997782196104173,0.19059960970583004,0.01912042604272621,0.23361079067823604,0.02002926289999127,0.023020345137819965,0.9799,0.0020324245389853365,1154,0.02885,192,962,0.1663778162911612,0.96
