seed,model,variant,condition,budget,k,tp,fp,fn,precision,recall,lift
101,word_unweighted,raw,id,0.05,2000,200,1800,0,0.1,1.0,20.0
101,word_unweighted,calibrated,id,0.001,40,40,0,160,1.0,0.2,200.0
101,word_unweighted,calibrated,id,0.005,200,200,0,0,1.0,1.0,200.0
101,word_unweighted,calibrated,id,0.01,400,200,200,0,0.5,1.0,100.0
101,word_unweighted,calibrated,id,0.02,800,200,600,0,0.25,1.0,50.0
101,word_unweighted,calibrated,id,0.05,2000,200,1800,0,0.1,1.0,20.0
101,word_unweighted,raw,positive_paraphrase,0.001,40,40,0,160,1.0,0.2,200.0
101,word_unweighted,raw,positive_paraphrase,0.005,200,69,131,131,0.345,0.345,69.0
101,word_unweighted,raw,positive_paraphrase,0.01,400,129,271,71,0.3225,0.645,64.5
101,word_unweighted,raw,positive_paraphrase,0.02,800,200,600,0,0.25,1.0,50.0
101,word_unweighted,raw,positive_paraphrase,0.05,2000,200,1800,0,0.1,1.0,20.0
101,word_unweighted,calibrated,positive_paraphrase,0.001,40,40,0,160,1.0,0.2,200.0
101,word_unweighted,calibrated,positive_paraphrase,0.005,200,69,131,131,0.345,0.345,69.0
101,word_unweighted,calibrated,positive_paraphrase,0.01,400,129,271,71,0.3225,0.645,64.5
101,word_unweighted,calibrated,positive_paraphrase,0.02,800,200,600,0,0.25,1.0,50.0
101,word_unweighted,calibrated,positive_paraphrase,0.05,2000,200,1800,0,0.1,1.0,20.0
101,word_unweighted,raw,benign_context,0.001,40,0,40,200,0.0,0.0,0.0
101,word_unweighted,raw,benign_context,0.005,200,0,200,200,0.0,0.0,0.0
101,word_unweighted,raw,benign_context,0.01,400,7,393,193,0.0175,0.035,3.5000000000000004
101,word_unweighted,raw,benign_context,0.02,800,41,759,159,0.05125,0.205,10.25
101,word_unweighted,raw,benign_context,0.05,2000,92,1908,108,0.046,0.46,9.2
101,word_unweighted,calibrated,benign_context,0.001,40,0,40,200,0.0,0.0,0.0
101,word_unweighted,calibrated,benign_context,0.005,200,0,200,200,0.0,0.0,0.0
101,word_unweighted,calibrated,benign_context,0.01,400,7,393,193,0.0175,0.035,3.5000000000000004
101,word_unweighted,calibrated,benign_context,0.02,800,41,759,159,0.05125,0.205,10.25
101,word_unweighted,calibrated,benign_context,0.05,2000,92,1908,108,0.046,0.46,9.2
101,word_unweighted,raw,combined,0.001,40,0,40,200,0.0,0.0,0.0
101,word_unweighted,raw,combined,0.005,200,0,200,200,0.0,0.0,0.0
101,word_unweighted,raw,combined,0.01,400,0,400,200,0.0,0.0,0.0
101,word_unweighted,raw,combined,0.02,800,0,800,200,0.0,0.0,0.0
101,word_unweighted,raw,combined,0.05,2000,0,2000,200,0.0,0.0,0.0
101,word_unweighted,calibrated,combined,0.001,40,0,40,200,0.0,0.0,0.0
101,word_unweighted,calibrated,combined,0.005,200,0,200,200,0.0,0.0,0.0
101,word_unweighted,calibrated,combined,0.01,400,0,400,200,0.0,0.0,0.0
101,word_unweighted,calibrated,combined,0.02,800,0,800,200,0.0,0.0,0.0
101,word_unweighted,calibrated,combined,0.05,2000,0,2000,200,0.0,0.0,0.0
101,char_balanced,raw,id,0.001,40,40,0,160,1.0,0.2,200.0
101,char_balanced,raw,id,0.005,200,200,0,0,1.0,1.0,200.0
101,char_balanced,raw,id,0.01,400,200,200,0,0.5,1.0,100.0
101,char_balanced,raw,id,0.02,800,200,600,0,0.25,1.0,50.0
101,char_balanced,raw,id,0.05,2000,200,1800,0,0.1,1.0,20.0
101,char_balanced,calibrated,id,0.001,40,40,0,160,1.0,0.2,200.0
101,char_balanced,calibrated,id,0.005,200,200,0,0,1.0,1.0,200.0
101,char_balanced,calibrated,id,0.01,400,200,200,0,0.5,1.0,100.0
101,char_balanced,calibrated,id,0.02,800,200,600,0,0.25,1.0,50.0
101,char_balanced,calibrated,id,0.05,2000,200,1800,0,0.1,1.0,20.0
101,char_balanced,raw,positive_paraphrase,0.001,40,40,0,160,1.0,0.2,200.0
101,char_balanced,raw,positive_paraphrase,0.005,200,143,57,57,0.715,0.715,143.0
101,char_balanced,raw,positive_paraphrase,0.01,400,180,220,20,0.45,0.9,90.0
101,char_balanced,raw,positive_paraphrase,0.02,800,200,600,0,0.25,1.0,50.0
101,char_balanced,raw,positive_paraphrase,0.05,2000,200,1800,0,0.1,1.0,20.0
101,char_balanced,calibrated,positive_paraphrase,0.001,40,40,0,160,1.0,0.2,200.0
101,char_balanced,calibrated,positive_paraphrase,0.005,200,143,57,57,0.715,0.715,143.0
101,char_balanced,calibrated,positive_paraphrase,0.01,400,180,220,20,0.45,0.9,90.0
101,char_balanced,calibrated,positive_paraphrase,0.02,800,200,600,0,0.25,1.0,50.0
101,char_balanced,calibrated,positive_paraphrase,0.05,2000,200,1800,0,0.1,1.0,20.0
101,char_balanced,raw,benign_context,0.001,40,40,0,160,1.0,0.2,200.0
101,char_balanced,raw,benign_context,0.005,200,117,83,83,0.585,0.585,116.99999999999999
101,char_balanced,raw,benign_context,0.01,400,151,249,49,0.3775,0.755,75.5
101,char_balanced,raw,benign_context,0.02,800,196,604,4,0.245,0.98,49.0
101,char_balanced,raw,benign_context,0.05,2000,200,1800,0,0.1,1.0,20.0
101,char_balanced,calibrated,benign_context,0.001,40,40,0,160,1.0,0.2,200.0
101,char_balanced,calibrated,benign_context,0.005,200,117,83,83,0.585,0.585,116.99999999999999
101,char_balanced,calibrated,benign_context,0.01,400,151,249,49,0.3775,0.755,75.5
101,char_balanced,calibrated,benign_context,0.02,800,196,604,4,0.245,0.98,49.0
101,char_balanced,calibrated,benign_context,0.05,2000,200,1800,0,0.1,1.0,20.0
