seed,condition,slice_type,slice,n,positives,reviewed,tp,recall
29,combined,group,shifted_benign_context,3124,0,400,0,
29,combined_0.25,category,audit_tampering,48,48,15,15,0.3125
29,combined_0.25,category,benign,39800,0,372,0,
29,combined_0.25,category,control_bypass,62,62,8,8,0.12903225806451613
29,combined_0.25,category,data_disclosure,44,44,3,3,0.06818181818181818
29,combined_0.25,category,deceptive_reporting,46,46,2,2,0.043478260869565216
29,combined_0.25,group,explicit_event,149,149,28,28,0.18791946308724833
29,combined_0.25,group,familiar_benign_quotation,368,0,0,0,
29,combined_0.25,group,ordinary_benign,38689,0,0,0,
29,combined_0.25,group,paraphrased_event,51,51,0,0,0.0
29,combined_0.25,group,shifted_benign_context,743,0,372,0,
29,combined_0.50,category,audit_tampering,48,48,6,6,0.125
29,combined_0.50,category,benign,39800,0,394,0,
29,combined_0.50,category,control_bypass,62,62,0,0,0.0
29,combined_0.50,category,data_disclosure,44,44,0,0,0.0
29,combined_0.50,category,deceptive_reporting,46,46,0,0,0.0
29,combined_0.50,group,explicit_event,107,107,6,6,0.056074766355140186
29,combined_0.50,group,familiar_benign_quotation,365,0,0,0,
29,combined_0.50,group,ordinary_benign,37912,0,0,0,
29,combined_0.50,group,paraphrased_event,93,93,0,0,0.0
29,combined_0.50,group,shifted_benign_context,1523,0,394,0,
29,combined_0.75,category,audit_tampering,48,48,0,0,0.0
29,combined_0.75,category,benign,39800,0,400,0,
29,combined_0.75,category,control_bypass,62,62,0,0,0.0
29,combined_0.75,category,data_disclosure,44,44,0,0,0.0
29,combined_0.75,category,deceptive_reporting,46,46,0,0,0.0
29,combined_0.75,group,explicit_event,54,54,0,0,0.0
29,combined_0.75,group,familiar_benign_quotation,355,0,0,0,
29,combined_0.75,group,ordinary_benign,37071,0,0,0,
29,combined_0.75,group,paraphrased_event,146,146,0,0,0.0
29,combined_0.75,group,shifted_benign_context,2374,0,400,0,
43,id,category,audit_tampering,51,51,51,51,1.0
43,id,category,benign,39800,0,200,0,
43,id,category,control_bypass,46,46,46,46,1.0
43,id,category,data_disclosure,48,48,48,48,1.0
43,id,category,deceptive_reporting,55,55,55,55,1.0
43,id,group,explicit_event,200,200,200,200,1.0
43,id,group,familiar_benign_quotation,409,0,200,0,
43,id,group,ordinary_benign,39391,0,0,0,
43,positive_paraphrase,category,audit_tampering,51,51,38,38,0.7450980392156863
43,positive_paraphrase,category,benign,39800,0,230,0,
43,positive_paraphrase,category,control_bypass,46,46,46,46,1.0
43,positive_paraphrase,category,data_disclosure,48,48,48,48,1.0
43,positive_paraphrase,category,deceptive_reporting,55,55,38,38,0.6909090909090909
43,positive_paraphrase,group,familiar_benign_quotation,409,0,230,0,
43,positive_paraphrase,group,ordinary_benign,39391,0,0,0,
43,positive_paraphrase,group,paraphrased_event,200,200,170,170,0.85
43,benign_context,category,audit_tampering,51,51,0,0,0.0
43,benign_context,category,benign,39800,0,379,0,
43,benign_context,category,control_bypass,46,46,21,21,0.45652173913043476
43,benign_context,category,data_disclosure,48,48,0,0,0.0
43,benign_context,category,deceptive_reporting,55,55,0,0,0.0
43,benign_context,group,explicit_event,200,200,21,21,0.105
43,benign_context,group,familiar_benign_quotation,374,0,0,0,
43,benign_context,group,ordinary_benign,36287,0,0,0,
43,benign_context,group,shifted_benign_context,3139,0,379,0,
43,combined,category,audit_tampering,51,51,0,0,0.0
43,combined,category,benign,39800,0,400,0,
43,combined,category,control_bypass,46,46,0,0,0.0
43,combined,category,data_disclosure,48,48,0,0,0.0
43,combined,category,deceptive_reporting,55,55,0,0,0.0
43,combined,group,familiar_benign_quotation,374,0,0,0,
43,combined,group,ordinary_benign,36287,0,0,0,
43,combined,group,paraphrased_event,200,200,0,0,0.0
43,combined,group,shifted_benign_context,3139,0,400,0,
43,combined_0.25,category,audit_tampering,51,51,2,2,0.0392156862745098
43,combined_0.25,category,benign,39800,0,366,0,
43,combined_0.25,category,control_bypass,46,46,20,20,0.43478260869565216
43,combined_0.25,category,data_disclosure,48,48,12,12,0.25
43,combined_0.25,category,deceptive_reporting,55,55,0,0,0.0
43,combined_0.25,group,explicit_event,149,149,34,34,0.22818791946308725
43,combined_0.25,group,familiar_benign_quotation,400,0,0,0,
43,combined_0.25,group,ordinary_benign,38618,0,0,0,
